# Region type : patch outlet
# Faces       : 20
# Area        : 5.000000e-06
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
0.05          	-1.779991e-79
0.1           	-2.721772e-66
0.15          	6.611933e-59
0.2           	-1.023887e-55
0.25          	2.540109e-54
0.3           	2.198594e-53
0.35          	7.314937e-53
0.4           	1.582927e-52
0.45          	6.372060e-52
0.5           	9.377519e-51
0.55          	-4.016241e-49
0.6           	-8.402841e-48
0.65          	-1.306688e-41
0.7           	-2.734236e-39
0.75          	-6.475438e-38
0.8           	-6.809784e-37
0.85          	-3.441517e-36
0.9           	-1.062492e-35
0.95          	-5.415767e-35
1             	-6.635007e-34
1.05          	-1.003695e-32
1.1           	2.319161e-30
1.15          	1.236128e-28
1.2           	-2.345516e-27
1.25          	-1.156452e-25
1.3           	-1.225136e-24
1.35          	-5.189587e-24
1.4           	-1.320300e-23
1.45          	-4.265132e-23
1.5           	-1.344493e-23
1.55          	1.284849e-20
1.6           	3.044853e-19
1.65          	-2.207901e-17
1.7           	-2.545738e-16
1.75          	4.821927e-16
1.8           	1.199132e-14
1.85          	5.132420e-14
1.9           	1.294776e-13
1.95          	4.149834e-13
2             	1.501139e-12
2.05          	-8.016683e-13
2.1           	-2.422957e-10
2.15          	-2.639049e-09
2.2           	2.261560e-08
2.25          	2.949249e-07
2.3           	1.289236e-06
2.35          	3.274056e-06
2.4           	6.169466e-06
2.45          	1.380411e-05
2.5           	3.856160e-05
2.55          	1.319324e-04
2.6           	5.341481e-04
2.65          	2.206518e-03
2.7           	6.350398e-03
2.75          	1.314514e-02
2.8           	2.131452e-02
2.85          	2.893707e-02
2.9           	3.538180e-02
2.95          	4.476179e-02
3             	5.894949e-02
3.05          	7.853766e-02
3.1           	9.950425e-02
3.15          	1.166055e-01
3.2           	1.270261e-01
3.25          	1.298552e-01
3.3           	1.276895e-01
3.35          	1.234952e-01
3.4           	1.192186e-01
3.45          	1.127096e-01
3.5           	1.036027e-01
3.55          	9.351521e-02
3.6           	8.583319e-02
3.65          	7.724777e-02
3.7           	6.804172e-02
3.75          	5.980222e-02
3.8           	5.461321e-02
3.85          	5.223268e-02
3.9           	5.103810e-02
3.95          	5.036901e-02
4             	4.986237e-02
4.05          	4.921133e-02
4.1           	4.779462e-02
4.15          	4.598560e-02
4.2           	4.429831e-02
4.25          	4.221783e-02
4.3           	3.913201e-02
4.35          	3.524756e-02
4.4           	3.181779e-02
4.45          	3.013929e-02
4.5           	2.974476e-02
4.55          	2.998500e-02
4.6           	3.031407e-02
4.65          	3.043952e-02
4.7           	3.033935e-02
4.75          	3.000249e-02
4.8           	2.936050e-02
4.85          	2.821679e-02
4.9           	2.665026e-02
4.95          	2.499276e-02
5             	2.350006e-02
