# Region type : patch outlet
# Faces       : 20
# Area        : 5.000000e-06
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
0.000311517   	0.000000e+00
0.0022388     	-3.318535e-227
0.00687967    	-1.089824e-137
0.00964046    	1.171823e-131
0.0117803     	-8.950682e-128
0.0136089     	5.618903e-123
0.0152457     	5.232768e-119
0.016753      	6.418055e-112
0.0181614     	1.280953e-106
0.0194934     	-4.223067e-102
0.0207658     	1.042352e-97
0.0219906     	-9.422377e-94
0.0231763     	3.174000e-90
0.0243261     	-5.055149e-87
0.0254455     	4.483013e-84
0.0265401     	-2.481343e-81
0.0276143     	9.241509e-79
0.0286501     	-1.943771e-76
0.0296449     	2.073157e-74
0.0306042     	-6.554408e-73
0.031532      	-1.121314e-70
0.0324345     	1.684582e-68
0.033317      	-1.162708e-66
0.0341811     	4.860260e-65
0.0350285     	-1.158412e-63
0.0358615     	5.397488e-63
0.0366834     	6.819676e-61
0.0374976     	-2.881669e-59
0.0383008     	6.293907e-58
0.0390894     	-7.038017e-57
0.0398646     	-1.897198e-56
0.0406299     	2.313769e-54
0.0413897     	-4.794184e-53
0.0421425     	5.727134e-52
0.042883      	-2.796410e-51
0.0436114     	-4.043876e-50
0.0443329     	1.042005e-48
0.0450455     	-1.119567e-47
0.0457486     	5.219848e-47
